Ticker,Name,Exchange,categoryName,categoryNr
SLCT,"Select Bancorp, Inc.",NGM,Regional - Mid-Atlantic Banks,412
ARPNF,ASTRO JAPAN PROPERTY,PNK,,0
O9Q.SI,ISHARES SINGAPORE ASIA LC 1-3Y ,SES,,0
1Q8.SG,QUEST RARE MIN,STU,,0
SLI.L,Standard Life Investments Property Income Trust Ltd.,LSE,,0
ZCILY,ZCI Limited,PNK,,0
TRTLW,Terrapin 3 Acquisition Corporat,NCM,,0
SLCA,"U.S. Silica Holdings, Inc.",NYQ,Industrial Metals & Minerals,133
TRTLU,Terrapin 3 Acquisition Corporat,NCM,,0
FOG.L,Falcon Oil & Gas Ltd.,LSE,Independent Oil & Gas,121
NVP6.MU,TPI POLENE NVDR,MUN,,0
PAYM,"Paymeon, Inc.",PNK,Internet Information Providers,851
SLCH,"Spotlight Capital Holdings, Inc.",PNK,,0
PAYC,"Paycom Software, Inc.",NYQ,Application Software,821
KT9.SI,Qingmei Group Holdings Limited,SES,,0
YIPI,"Yippy, Inc.",PNK,,0
SOUTHBANK.NS,The South Indian Bank Ltd.,NSI,Money Center Banks,410
PAYD,Paid Inc.,PNK,Business Services,760
PTOI,"Plastic2Oil, Inc.",PNK,,0
ST2.SG,STURM RUGER & CO.,STU,,0
WPC.SG,ZEAG ENERGIE,STU,,0
718331.TWO,YUANTA SECURITIES C/W 12/10/15(,TWO,,0
MAAJTL.BO,MAA JAGDAMBE TRADELINKS LIMITE,BSE,,0
69BN.F,Strongbridge Biopharma plc,FRA,,0
LAND,Gladstone Land Corporation,NGM,REIT - Diversified,440
LANC,Lancaster Colony Corporation,NMS,Food - Major Diversified,340
GRND3F.SA,GRENDENE    ON      NM,SAO,,0
Q-A.V,Questfire Energy Corp.,VAN,,0
USA.AX,Uraniumsa Limited,ASX,Industrial Metals & Minerals,133
S3X.DU,SUMCO,DUS,,0
6ZA.SG,ZANAGA IRON ORE,STU,,0
DRRSF,Arianne Phosphate Inc.,PNK,,0
IVBX11.SA,IVBX2       IVB,SAO,,0
XTP.MU,SINO,MUN,,0
3PW.BE,XCITE ENERGY,BER,,0
SPAN,Span-America Medical Systems Inc.,NGM,Medical Appliances & Equipment,521
SOCB,Southcoast Financial Corp.,NGM,,0
DNKN,"Dunkin' Brands Group, Inc.",NMS,Restaurants,712
SPAR,Spartan Motors Inc.,NMS,Trucks & Other Vehicles,331
0183.HK,WINFULL GP,HKG,,0
4958.TW,Zhen Ding Technology Holding Limited,TAI,,0
PNC-PQ,"PNC Financial Services Group, I",NYQ,,0
HPR.F,Horizon Pharma plc,FRA,,0
KBXMF,Itasca Capital Ltd.,PNK,,0
VN3A.SG,LEXAM VG GOLD,STU,,0
ENGGF,"Enagás, S.A.",PNK,,0
BIIB,Biogen Inc.,NMS,Biotechnology,515
KTSBP.ME,KSK PREF,MCX,,0
MAKSY,Marks & Spencer Group plc,PNK,,0
ASWRF,Gungnir Resources Inc.,PNK,,0
VBHK.F,VBH Holding AG,FRA,,0
722894.TWO,YUANTA SECURITIES C/W 23/08/16(,TWO,,0
DNGYF,DONGYUE GROUP,PNK,,0
6839-OL.HK,YUNNAN WATER,HKG,,0
REY.MI,Reply S.p.A.,MIL,Information Technology Services,824
ZAL.HM,ZALANDO,HAM,,0
ESDA.BE,BGC PARTNERS-A,BER,,0
ECO.TO,EcoSynthetix Inc.,TOR,Specialty Chemicals,113
VMPT,"VAMPT AMERICA, INC.",PNK,,0
TRITONV.BO,Triton Valves Ltd,BSE,,0
HFA.AX,HFA Holdings Limited,ASX,Asset Management,422
QMCQF,QMC Quantum Minerals Corp,PNK,,0
NRT.AX,Novogen Limited,ASX,Drug Manufacturers - Major,510
TRASTOR.AT,Trastor Real Estate Investment Company  SA,ATH,REIT - Diversified,440
OPCO.ST,Trention AB (publ),,Diversified Utilities,913
CNU.TO,CNOOC Ltd.,TOR,Independent Oil & Gas,121
KENNAMET.BO,Kennametal India Limited,BSE,,0
CFNL,Cardinal Financial Corp.,NMS,Regional - Southeast Banks,413
NKEF.EX,NIKE -B-,EUX,,0
JPSWY,"The Japan Steel Works, Ltd.",PNK,,0
G9Y.SG,GS YUASA,STU,,0
BPMC,Blueprint Medicines Corporation,NMS,Biotechnology,515
091440.KQ,Telefield Inc.,KOE,,0
CFNB,California First National Bancorp,NGM,Regional - Pacific Banks,416
BPMX,BioPharmX Corporation,OBB,Biotechnology,515
ALPMY,"Astellas Pharma, Inc.",PNK,,0
PYA.MU,WAYSIDE TECH GRP,MUN,,0
JPSWF,"The Japan Steel Works, Ltd.",PNK,,0
LIVN,LivaNova PLC,NMS,,0
TSE1.F,Toshiba Corporation,FRA,,0
YDX.F,Yandex N.V.,FRA,,0
SOCGM,SOUTHERN CALIF GAS 6,PNK,,0
721636.TWO,,TWO,,0
ABF.L,Associated British Foods plc,LSE,Food - Major Diversified,340
ZVB.BE,ZIGNAGO VETRO,BER,,0
B7P.F,Raubex Group Limited,FRA,,0
JELCF,Johnson Electric Holdings Ltd.,PNK,,0
XNP.SG,CNP ASSURANCES,STU,,0
KW9A.BE,GALAXY ENTERTAIN,BER,,0
NYI.BE,MINCO,BER,,0
BPF.SI,YHI International Limited,SES,,0
WMPN,"William Penn Bancorp, Inc.",OBB,Regional - Northeast Banks,411
WARGF,War Eagle Mining Co. Inc.,PNK,,0
YTMSG1.AX,THETAASSET ACBCSGP20,ASX,,0
VIG.AX,Victor Group Holdings Limited,ASX,Education & Training Services,766
OXLCO,Oxford Lane Capital Corp.,NMS,,0
OXLCN,Oxford Lane Capital Corp.,NMS,,0
CBR.F,CHIBA BANK,FRA,,0
EAUI,"EAU Technologies, Inc.",PNK,Pollution & Treatment Controls,623
CTXS,"Citrix Systems, Inc.",NMS,Business Software & Services,826
OXLCP,Oxford Lane Capital Corp.,NMS,,0
MGIC,Magic Software Enterprises Ltd.,NMS,Application Software,821
NEAGI.BO,Neelamalai Agro Industries Ltd.,BSE,,0
JPAK,"Jpak Group, Inc.",PNK,,0
MWB.BE,MWB FAIRTRADE WPH,BER,Investment Brokerage - National,420
PTY.F,The Brink's Company,FRA,,0
OXFORDIN.BO,Oxford Industries Ltd,BSE,,0
02Y.BE,CHINA XD PLSTCS,BER,,0
CQK.F,"CoreLogic, Inc.",FRA,,0
3027-OL.HK,X DBMSCIRUSSIA,HKG,,0
RVREF,True Gold Mining Inc.,PNK,,0
MFL.F,"Marudai Food Co., Ltd.",FRA,,0
RIVE,Riverview Financial Corporation,PNK,,0
TLPR.L,Tullett Prebon plc,LSE,Investment Brokerage - National,420
BKCC,BlackRock Capital Investment Corporation,NMS,,0
TKOMY,Tokio Marine Holdings Inc.,PNK,,0
HNI,HNI Corp.,NYQ,Business Equipment,313
HCACU,Hennessy Capital Acquisition Corp II,NCM,,0
HCACW,Hennessy Capital Acquisition Co,NCM,,0
HNP,"Huaneng Power International, Inc.",NYQ,Electric Utilities,911
ZIONW,Zions Bancorporation,NMS,,0
HNR,Harvest Natural Resources Inc.,NYQ,Independent Oil & Gas,121
HNW,Pioneer Diversified High Income Trust,ASE,,0
RIVR,River Valley Bancorp,NCM,,0
ZTHO,"Z-Trim Holdings, Inc.",PNK,,0
KKKUF,"Kakaku.com., Inc.",PNK,,0
VC8.F,VANCAMEL,FRA,,0
ZIONZ,Zions Bancorporation,NMS,,0
WLVH,Wolverine Holding Corp.,PNK,,0
TSQ.F,"Trans Cosmos, Inc.",FRA,,0
GIL.TO,Gildan Activewear Inc.,TOR,Textile - Apparel Clothing,320
AMKBY,A.P. Møller - Mærsk A/S,PNK,,0
ASRVP,AmeriServ Financial Inc.,NGM,,0
NS8U.SI,Hutchison Port Holdings Trust,SES,Air Delivery & Freight Services,773
CMC.SG,JPMORGAN CHASE,STU,Money Center Banks,410
PTNA.F,Palatin Technologies Inc.,FRA,,0
TDJ,Telephone & Data Systems Inc.,NYQ,,0
TDI,Telephone & Data Systems Inc.,NYQ,,0
MRC.L,Mercantile Ord,LSE,,0
TDC,Teradata Corporation,NYQ,Data Storage Devices,813
TDA,Telephone & Data Systems Inc.,NYQ,,0
TDG,TransDigm Group Incorporated,NYQ,Aerospace/Defense Products & Services,611
TDF,"Templeton Dragon Fund, Inc.",NYQ,,0
TDE,Telephone & Data Systems Inc.,NYQ,,0
TDY,Teledyne Technologies Inc.,NYQ,Scientific & Technical Instruments,837
CJT.TO,Cargojet Inc.,TOR,"Air Services, Other",772
YPH.SG,ASTELLAS PHARMA,STU,,0
TDS,Telephone & Data Systems Inc.,NYQ,Wireless Communications,840
QTE.PA,Quotium Technologies SA,PAR,Technical & System Software,822
TDW,Tidewater Inc.,NYQ,Oil & Gas Equipment & Services,124
RODI,Barclays Return on Disability ETN,PCX,,0
PWEB,"Pacific WebWorks, Inc.",OBB,,0
CPG.TO,Crescent Point Energy Corp.,TOR,Independent Oil & Gas,121
UBN.V,"Urban Communications, Inc.",VAN,Wireless Communications,840
AJL.AX,AJ Lucas Group Limited,ASX,General Contractors,636
OBH.BE,OC OERLIKON N,BER,Diversified Machinery,622
WTVR-CRI11B0.SA,BRPR 56 SEC C11 EJA,SAO,,0
IHRMF,iShares Public Limited Company - iShares MSCI Japan UCITS ETF (Dist),PNK,,0
SVE.DE,Shareholder Value Beteiligungen AG,GER,Business Services,760
CRIS,"Curis, Inc.",NGM,Biotechnology,515
4RW.MU,RAI WAY,MUN,,0
1WF.MU,WAYFAIR,MUN,,0
GNGBY,Getinge AB,PNK,,0
TNF.F,True North Gems Inc.,FRA,,0
ERGN,Ergo Science Corporation,PNK,,0
MAERSK-B.CO,A.P. Møller - Mærsk A/S,CPH,,0
EBF,Ennis Inc.,NYQ,Office Supplies,327
8130-OL.HK,ZHI CHENG H,HKG,,0
KPCUF,Kasikornbank Public Company Limited,PNK,,0
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobras,NYQ,,0
ABEV3.SA,Ambev S.A.,SAO,Beverages - Brewers,346
MLP.DE,MLP AG,GER,Asset Management,422
R7H1.BE,RED PROP -NPV-,BER,,0
NCO.SG,NEDBANK GROUP,STU,,0
XSI.BE,SANYO CHEMICAL IND,BER,,0
EXHTF,DIAXONHIT,PNK,,0
OY3.SG,OCEAN YIELD,STU,,0
KYM1.MU,VTB BNK SPGDR REG-S,MUN,,0
RAREF,Canada Rare Earth Corporation,PNK,Biotechnology,515
XBOR,"Cross Border Resources, Inc.",PNK,Oil & Gas Drilling & Exploration,123
BRAX11F.SA,ISHARES BRAXCI,SAO,,0
SU2.DU,SUMITOMO OSAKA,DUS,,0
AIB.IR,,ISE,,0
HSHY34F.SA,The Hershey Company,SAO,,0
QRE.AX,BetaShares S&P;/ASX200 Res Sect ETF,ASX,,0
UIBGF,UIB Group Limited,PNK,,0
RPRXZ,Repros Therapeutics Inc.,NCM,,0
RPRXW,Repros Therapeutics Inc.,NCM,,0
QBIEY,QBE Insurance Group Limited,PNK,,0
CBYAA,Community Bank of the Bay,PNK,,0
722239.TWO,YUANTA SECURITIES C/W 29/06/16(,TWO,,0
SLDRF,Iberian Minerals Ltd.,PNK,,0
ZIL2.F,ElringKlinger AG,FRA,Auto Parts,333
XRESF,Xtierra Inc.,PNK,,0
MEOG-U.TI,METRO,TLO,,0
JBDU3F.SA,J B DUARTE  ON,SAO,,0
OGF-UN.TO,Aston Hill Global Resource Fund,TOR,,0
NK.PA,Imerys SA,PAR,General Building Materials,634
OZL.AX,OZ Minerals Limited,ASX,Copper,131
KMAZ.ME,KAMAZ Publicly Traded Company,MCX,,0
FTSV.L,Foresight Solar & Infrastructure VCT,LSE,,0
QXT.L,Quixant Plc,LSE,Computer Based Systems,812
YGRO.A,,ASE,,0
XGH.F,ENN Energy Holdings Limited,FRA,,0
0NM8.L,Vittoria Assicurazioni SpA,LSE,,0
6998@OM.KL,BINTAI KINDEN CORPORATION BHD,KLS,,0
IBCP,Independent Bank Corporation,NMS,Regional - Midwest Banks,414
BRRAF,Barloworld Ltd.,PNK,,0
Q-B.V,Questfire Energy Corp.,VAN,,0
FSMK,"1ST SUMMIT BANCORP of Johnstown, Inc.",PNK,,0
MDV.V,Megastar Development Corp.,VAN,Industrial Metals & Minerals,133
YGRO,RBC Yorkville MLP Dis GrLdrs Liqd PR ETN,PCX,,0
SSMS.JK,SAWIT SUMBERMAS SA IDR100,JKT,,0
DWNI.DU,DEUTSCHE WOHNEN,DUS,Real Estate Development,449
NDH1.SG,METALL ZUG N -B-,STU,,0
GHH.L,Gooch & Housego plc,LSE,Diversified Electronics,836
DWNI.DE,Deutsche Wohnen AG,GER,Real Estate Development,449
GMUI,"Gold Mining USA, Inc.",PNK,,0
YAK.F,NEXUS MINERALS,FRA,,0
GGAC,Garnero Group Acquisition Company,NCM,,0
BRM.V,BIOREM Inc.,VAN,Pollution & Treatment Controls,623
RBNTF,"Robinsons Retail Holdings, Inc.",PNK,,0
QS5.MU,STRAUMANN HLDG N,MUN,,0
DJAN.L,Daejan Holdings plc,LSE,Property Management,448
GGAL,Grupo Financiero Galicia S.A.,NCM,Foreign Regional Banks,418
ATLN.VX,ACTELION N ,VTX,,0
NSKFF,Kongsberg Gruppen ASA,PNK,,0
QEBR,"Virtual Medical International, Inc.",PNK,Personal Products,323
MAHLY,MediPal Holdings Corporation,PNK,,0
BREC.BE,BANCO BR SP ADR PFD,BER,,0
FVR.V,Solar Alliance Energy Inc.,VAN,Diversified Utilities,913
USIM3.SA,Usinas Siderúrgicas de Minas Gerais S.A.,SAO,Steel & Iron,130
OCBB,Orange County Business Bank,PNK,,0
TGS.AX,Tiger Resources Ltd.,ASX,Copper,131
LMHA,"Legg Mason, Inc. 6.375% Junior ",NYQ,,0
BKS3.SG,BBS KRAFTFAHRZG VZ,STU,,0
LLPG.L,6.3673 LLOYDS NCP,LSE,,0
STRP,Straight Path Communications Inc.,ASE,Diversified Communication Services,846
XFTB,"XFit Brands, Inc.",OBB,,0
004310.KS,"Hyundai Pharmaceutical Co., Ltd.",KSC,,0
TWL.BO,TITAGARH WAGONS LTD.,BSE,,0
BNPQY,BNP Paribas SA,PNK,,0
DCH1.BE,DOW CHEMICAL,BER,Chemicals - Major Diversified,110
JSLG-DEB63L0.SA,JSL         D63     NM,SAO,,0
EORBF,Orbite Technologies Inc.,PNK,,0
KSK-EQ.NS,KSK ENERGY VENTURES LIMITED,NSI,,0
512230.SS,INVESCO GREAT WALL CSI MEDICINE,SHH,,0
E,Eni SpA,NYQ,Major Integrated Oil & Gas,120
IRI.AX,Integrated Research Limited,ASX,Technical & System Software,822
VBBK,Vibra Bank,PNK,,0
UCG.MI,UniCredit S.p.A.,MIL,Money Center Banks,410
AAL.L,Anglo American plc,LSE,Industrial Metals & Minerals,133
SCRYY,SCOR SE,PNK,,0
GWTR,"Global Water Technologies, Inc.",PNK,,0
HCM.F,"Hitachi Construction Machinery Co., Ltd.",FRA,,0
0572-OL.HK,CH FOR YOU GP,HKG,,0
002250.KS,"Alvogen Korea Co., Ltd.",KSC,,0
WALA.TA,WALLA COMMUNICATION,TLV,,0
KMPPF,Killam Apartment Real Estate Investment Trust,PNK,,0
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",NCM,,0
TMXLF,"Telefonos de Mexico, S.A.B. de C.V.",PNK,,0
BRM.DE,Bristol-Myers Squibb Company,GER,Drug Manufacturers - Major,510
YESBANK.BO,Yes Bank Limited,BSE,,0
LOUIF,The 13 Holdings Limited,PNK,,0
VIINT.CO,Victor International AS,CPH,,0
CCOM,"CCOM Group, Inc.",PNK,General Building Materials,634
LXS.DE,Lanxess AG,GER,Specialty Chemicals,113
CCOI,"Cogent Communications Holdings, Inc.",NMS,Diversified Communication Services,846
03045X.TW,YUANTA SECURITIES C/W 08/12/15(,TAI,,0
BVB.DE,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,GER,"Recreational Goods, Other",317
LCY.MU,JUBII EUROPE,MUN,,0
H4M.F,Hitachi Zosen Fukui Corporation,FRA,,0
ZZ8.F,China Huiyuan Juice Group Limited,FRA,,0
FLMNF,FIELMANN AG,PNK,,0
22Z.F,Zealand Pharma A/S,FRA,,0
PEY.TO,Peyto Exploration & Development Corp,TOR,Independent Oil & Gas,121
OY3.F,Ocean Yield AS,FRA,,0
NTS.V,Nanotech Security Corp.,VAN,Security & Protection Services,765
PMI.V,PMI Resources Ltd.,VAN,Independent Oil & Gas,121
WA9.BE,WABASH NATIONAL,BER,,0
TCLCF,Transcontinental Inc.,PNK,,0
722205.TWO,JIH SUN SECURITIES C/W 24/06/16,TWO,,0
WLC.TO,Lithium Americas Corp.,TOR,,0
TAPM,"Tapinator, Inc.",PNK,,0
JDORGOCHEM.BO,JD ORGOCHEM LTD.,BSE,,0
RSCF,"Reflect Scientific, Inc.",PNK,Medical Appliances & Equipment,521
SUHJF,Sun Hung Kai Properties Limited,PNK,,0
NUF.AX,Nufarm Limited,ASX,Agricultural Chemicals,112
D5S.BE,DOLPHIN CAP INVEST,BER,,0
SWARAJENG.NS,Swaraj Engines Ltd.,NSI,Auto Parts,333
HMTV,"Hemisphere Media Group, Inc.",NGM,CATV Systems,725
SUHJY,Sun Hung Kai Properties Limited,PNK,,0
WPP.L,WPP plc,LSE,Advertising Agencies,720
QULRY,Qualicorp S.A.,PNK,,0
WLG.L,Wireless Group PLC,LSE,,0
WPP.F,Worldpay Group plc,FRA,,0
JCN.F,Johnson Controls Inc.,FRA,,0
SLF.TO,Sun Life Financial Inc.,TOR,Property & Casualty Insurance,432
XPH.SG,AMPHENOL-A,STU,,0
PRAS.JK,PRIMA ALLOY STEEL IDR100,JKT,,0
AMA.L,,,,0
HPDLF,Hopson Development Holdings Ltd.,PNK,,0
NT4.F,Northern Trust Corporation,FRA,,0
HHX.HM,HCI Hammonia Shipping AG,HAM,,0
WONDERLA.BO,WONDERLA HOLIDAYS LTD,BSE,,0
WOFAD,"Wisdom Homes of America, Inc.",PNK,,0
MD,"MEDNAX, Inc.",NYQ,Specialized Health Services,528
MG,"Mistras Group, Inc.",NYQ,Security & Protection Services,765
UBQU,"CannaMark Brands, Inc.",PNK,,0
MA,MasterCard Incorporated,NYQ,Credit Services,424
ALOG,Analogic Corporation,NMS,Medical Laboratories & Research,525
ALOD,Allied Resources Inc.,OBB,Independent Oil & Gas,121
MB,"MINDBODY, Inc.",NGM,Application Software,821
MO,"Altria Group, Inc.",NYQ,Cigarettes,350
MN,"Manning & Napier, Inc.",NYQ,Asset Management,422
MU,"Micron Technology, Inc.",NMS,Semiconductor- Memory Chips,831
MT,ArcelorMittal,NYQ,Steel & Iron,130
RDEN,"Elizabeth Arden, Inc.",NMS,Personal Products,323
3380.TW,"Alpha Networks, Inc.",TAI,Communication Equipment,841
ALOT,"AstroNova, Inc.",NGM,Computer Peripherals,815
MY,China Ming Yang Wind Power Group Limited,NYQ,,0
MX,MagnaChip Semiconductor Corporation,NYQ,Semiconductor - Specialized,832
HWBK,"Hawthorn Bancshares, Inc.",NMS,Regional - Northeast Banks,411
502032.SS,ZHONGHAI FUND MANA CSI HIGH-SPE,SHH,,0
LIN.DE,Linde Aktiengesellschaft,GER,Chemicals - Major Diversified,110
MKT.L,Market Tech Holdings Limited,LSE,Real Estate Development,449
YAAA.F,Canadian Tire Corp. Ltd.,FRA,,0
XXFPL,"FFP Partners, L.P.",PNK,,0
